provider_id,provider_name,provider_type,specialty,address,city,state,zip,phone,in_network,quality_rating,avg_cost_index
PRV00001,St. General Hospital,Clinic,Cardiology,614 River Ln,San Diego,CA,92101,(272) 726-4899,True,4.0,1.13
PRV00002,Regional Medical Center,Urgent Care,Emergency,6769 First Ave,Minneapolis,MN,55401,(299) 874-8062,True,3.8,1.39
PRV00003,St. General Associates,Pharmacy,Pediatrics,1890 First Blvd,Los Angeles,CA,90001,(394) 749-8350,False,3.4,1.07
PRV00004,City General Hospital,Pharmacy,General,341 Oak Blvd,Chicago,IL,60601,(370) 616-8956,True,4.7,1.42
PRV00005,City General Associates,Physician,Emergency,4773 Park Ct,Philadelphia,PA,19101,(358) 394-5861,True,3.1,1.29
PRV00006,Valley General Hospital,Lab,Emergency,8338 Sunset Rd,Los Angeles,CA,90001,(258) 720-2312,True,3.1,0.75
PRV00007,City General Center,Lab,Internal Medicine,751 Washington Ave,San Diego,CA,92101,(629) 873-9565,True,3.5,1.24
PRV00008,Mount Community Associates,Clinic,Oncology,7591 Third Ave,Austin,TX,78701,(209) 669-2638,False,3.4,0.91
PRV00009,St. Memorial Clinic,Physician,Orthopedics,7279 River Dr,Jacksonville,FL,32099,(826) 869-9666,False,4.6,0.94
PRV00010,St. Memorial Clinic,Hospital,Cardiology,9164 Maple Dr,Miami,FL,33101,(488) 819-4450,True,3.4,1.21
PRV00011,Regional Medical Clinic,Urgent Care,Primary Care,1612 Lake Way,Dallas,TX,75201,(483) 245-1058,True,3.3,1.48
PRV00012,City Medical Hospital,Hospital,Cardiology,2542 Elm St,Philadelphia,PA,19101,(578) 796-3426,True,3.1,0.99
PRV00013,Valley Memorial Center,Pharmacy,Cardiology,5894 Forest Way,Los Angeles,CA,90001,(835) 967-3532,True,3.5,0.83
PRV00014,City General Center,Pharmacy,Pediatrics,6845 Forest Blvd,Philadelphia,PA,19101,(473) 363-2771,True,3.1,1.08
PRV00015,City Community Clinic,Urgent Care,Neurology,3752 Main Blvd,San Antonio,TX,78201,(608) 536-5564,True,4.9,0.92
PRV00016,Regional Medical Clinic,Hospital,Cardiology,4379 Maple Dr,Portland,OR,97201,(239) 311-8119,True,4.6,1.05
PRV00017,St. Medical Center,Physician,Primary Care,7244 Main Blvd,Indianapolis,IN,46201,(572) 641-2146,True,4.8,1.2
PRV00018,St. Community Clinic,Pharmacy,OB/GYN,5444 Park Dr,Miami,FL,33101,(767) 330-4143,True,4.9,1.24
PRV00019,Regional Community Associates,Lab,Primary Care,5078 Second Blvd,Philadelphia,PA,19101,(640) 793-6279,True,3.9,0.87
PRV00020,Mount General Clinic,Lab,Internal Medicine,5591 Oak Blvd,San Francisco,CA,94101,(888) 517-4680,True,3.3,0.74
PRV00021,Regional General Associates,Specialist,Internal Medicine,3285 Hill Way,San Francisco,CA,94101,(706) 609-4997,False,4.4,1.41
PRV00022,City Memorial Center,Urgent Care,General,7711 Main Blvd,Houston,TX,77001,(324) 667-3184,True,4.3,1.49
PRV00023,Valley Medical Associates,Urgent Care,General,7405 Sunset Rd,Boston,MA,02101,(961) 686-8373,True,3.5,1.21
PRV00024,City Memorial Clinic,Specialist,Cardiology,4781 First Dr,Indianapolis,IN,46201,(543) 527-9849,False,3.3,1.01
PRV00025,Mount General Associates,Specialist,Pediatrics,8990 Pine Way,Phoenix,AZ,85001,(263) 411-7883,True,4.5,1.46
